ionIdx,ionMz,ionAverageInt,Top annotation formula,Top annotation ion
361,208.01462805731606,1741.5754763511134,C4H8N3O5P,-H(-)
362,208.0625487440091,2952.286467625608,C10H11NO4,-H(-)
363,208.07170944161933,2150.480513276004,C9H11N3O3,-H(-)
364,208.16967993463655,920.6107973795572,C13H23NO,-H(-)
365,209.04606800283042,5575.3061694965445,C10H10O5,-H(-)
366,209.06660853491985,3898.2776096370308,C7H14O7,-H(-)
367,209.08431979088252,9345.124824411643,C8H18O4S,-H(-)
368,209.1178607768901,4315.538347709786,C12H18O3,-H(-)
369,209.12981865519956,2665.4136089555886,C11H18N2O2,-H(-)
370,209.15463629823768,24455.13059269972,C13H22O2,-H(-)
371,210.04091405180412,1886.374561261003,C9H9NO5,-H(-)
372,210.05443536541785,1620.6666753160043,C13H9NO2,-H(-)
373,210.0639291981148,1612.1657177763632,C7H9N5O3,-H(-)
374,210.07726041351395,5222.42583566444,C10H13NO4,-H(-)
375,210.0881620378244,2874.9163775647544,C9H13N3O3,-H(-)
376,210.13286445259408,677.3770185511902,C12H21NS,-H(-)
377,211.0195285862405,2091.4493278266505,C8H8N2O3S,-H(-)
378,211.06038870999893,6010.455981392045,C10H12O5,-H(-)
379,211.08314871268863,4308.4096536637235,C7H16O7; C8H12N4O3,-H(-); -H(-)
380,211.0974961364018,6058.87499451511,C11H16O4,-H(-)
381,211.1338179913992,13295.046921212124,C12H20O3,-H(-)
382,211.1700106945019,3222.252095249817,C13H24O2,-H(-)
383,212.00231938937873,27935.66740592778,C8H7NO4S,-H(-)
384,213.02268647079933,9454.099102762759,C9H10O4S,-H(-)
385,213.04108440120032,3589.3910857943783,C9H10O6,-H(-)
386,213.0562132007019,2929.463021963375,C13H10O3,-H(-)
387,213.11359904500821,5282.001295919421,C11H18O4,-H(-)
388,213.14968738204212,7863.487449724517,C12H22O3,-H(-)
389,213.18597333510894,14880.997740358127,C13H26O2,-H(-)
390,214.04839802501888,2597.947908400859,C5H14NO6P,-H(-)
391,214.07407276028954,3089.0512566383386,C10H9N5O,-H(-)
392,214.10795064722572,1571.1553556630872,C10H17NO4,-H(-)
393,214.14549185100432,1798.396230210687,C11H21NO3,-H(-)
394,215.16484961066936,6612.286175353231,C12H24O3,-H(-)
395,216.08746454961883,2544.276255487313,C10H19NS2,-H(-)
396,216.1020032409686,2861.7513773371593,C13H15NO2,-H(-)
397,217.08676773583454,8347.234717203375,C13H14O3,-H(-)
398,217.0903137534794,6957.051569705847,C10H18O3S,-H(-)
399,217.1081233730267,9885.061492344612,C10H18O5,-H(-)
400,217.11805934619676,4760.687431202786,C9H18N2O4,-H(-)
401,219.05079051394145,4550.307976915461,C8H12O7,-H(-)
402,219.06522432084765,4269.837414812947,C12H12O4,-H(-)
403,219.07772239669066,8070.5151091390635,C11H12N2O3,-H(-)
404,219.10281966205366,8384.463040988723,C13H16O3,-H(-)
405,219.13871129273267,7178.962387878789,C14H20O2,-H(-)
406,219.1753441895094,3449.0953391741464,C15H24O,-H(-)
407,220.13435502903846,984.20567740344,C13H19NO2,-H(-)
408,220.16934938675277,676.8301515553035,C14H23NO,-H(-)
409,221.0809632570613,10607.13841134615,C12H14O4,-H(-)
410,221.09399741710223,3800.4206587805884,C11H14N2O3,-H(-)
411,221.11773383085963,6134.151833335485,C13H18O3,-H(-)
412,221.13184247829145,2336.1479063570723,C17H18; C9H18N2O3,-H(-); .F(-)
413,221.15464558743273,26416.36720661157,C14H22O2,-H(-)
414,222.076875180315,4573.463930546229,C11H13NO4,-H(-)
415,223.07713415071044,9684.86897357309,C15H12O2,-H(-)
416,223.10885865731296,2490.7717490063546,C11H16N2O3,-H(-)
417,223.11261828983507,2167.911520462482,C16H16O,-H(-)
418,223.13404715464745,14435.64210743801,C13H20O3,-H(-)
419,223.1703051020675,4934.974151893133,C14H24O2,-H(-)
420,223.20690733633322,970.1112072613676,C15H28O,-H(-)
421,225.04013332031792,4377.475845363077,C10H10O6,-H(-)
422,225.12466081641372,3546.8884728303096,C11H18N2O3,-H(-)
423,225.1495931523371,5694.234118446001,C13H22O3,-H(-)
424,225.1654816748301,5369.129813355501,C17H22,-H(-)
425,225.18573519489937,19034.020481680447,C14H26O2,-H(-)
426,225.2213911109788,1396.7439547597671,C15H30O,-H(-)
427,226.034550791187,2106.8535265368414,C9H9NO6,-H(-)
428,226.082938124273,3868.1193009195963,C9H13N3O4,-H(-)
429,227.00264140036498,13534.897917400976,C9H8O5S,-H(-)
430,227.02073778024527,3818.980213757694,C5H11NO7P,-H(-)
