ionIdx,ionMz,ionAverageInt,mz delta,formula,ion,label (bona fide),HMDB ids,KEGG ids,other ids
55,107.05023152400163,62768.48664214445,6.575998369839908e-06,C7H8O,-H(-),Benzyl alcohol,HMDB0001858; HMDB0002048; HMDB0002055; HMDB0003119; HMDB0033895; HMDB01858; HMDB02048; HMDB02055; HMDB03119; HMDB13762; HMDB33895,C00556; C01403; C01467; C01468; C01542,CHEBI:16579; CHEBI:17231; CHEBI:17847; CHEBI:17987; CHEBI:28054
56,108.04544774179098,6623.4811857949135,3.935820902256637e-05,C6H7NO,-H(-),Aminophenol,HMDB0001169; HMDB0035882; HMDB0040582; HMDB01169; HMDB35882; HMDB40582,C02372,; CHEBI:17602; CHEBI:59981
57,109.01205591754173,3994.676114107427,-0.00031171754173442423,C6H6S,-H(-),2-Vinylthiophene,HMDB0029726; HMDB0033746; HMDB29726; HMDB33746,,; CHEBI:48498
57,109.01205591754173,3994.676114107427,0.0008310824582764553,C3H6OS,.F(-),Propanethial S-oxide,HMDB0030025; HMDB0031189; HMDB0031718; HMDB0040346; HMDB30025; HMDB31189; HMDB31718; HMDB40346,C08389,; CHEBI:50716; CHEBI:51280; CHEBI:8475
58,109.02948320076318,22376.88668989325,1.9499236813658172e-05,C6H6O2,-H(-),Catechol,HMDB0000957; HMDB0002434; HMDB0031180; HMDB0032037; HMDB0033002; HMDB0033127; HMDB00957; HMDB02434; HMDB31180; HMDB32037; HMDB33002; HMDB33127,C00090; C00530; C01751; C11115,; CHEBI:17594; CHEBI:18135; CHEBI:27810; CHEBI:59983
59,109.04096039446851,11724.142978071193,-0.00022429446852356705,C5H6N2O,-H(-),N-Acetylimidazole,HMDB0003905; HMDB0033156; HMDB0060741; HMDB03905; HMDB06237; HMDB33156; HMDB60741,C05130,; CHEBI:27398
60,109.06564731163319,3150.7888262248734,0.00024078836680985205,C7H10O,-H(-),"2,3,5-Trimethylfuran",HMDB0029721; HMDB0029728; HMDB0031541; HMDB0040277; HMDB0040278; HMDB0061891; HMDB29721; HMDB29728; HMDB31541; HMDB40277; HMDB40278; HMDB61891,,
61,110.03611604791942,82511.48531735376,-0.00013094791941625772,C4H5N3O,-H(-),Cytosine,HMDB0000630; HMDB00630,C00380,CHEBI:16040
62,110.07253134663362,15170.740752105246,-0.00016084663363358231,C5H9N3,-H(-),Histamine,HMDB0000870; HMDB0060263; HMDB00870; HMDB60263,C00388,; CHEBI:18295
63,111.00891559061635,29928.535931349004,-0.00014829061635168728,C5H4O3,-H(-),Furoic acid,HMDB0000444; HMDB0000617; HMDB0032994; HMDB0039437; HMDB00444; HMDB00617; HMDB32994; HMDB39437,C01546,; CHEBI:30845; CHEBI:30846
