ionIdx,ionMz,ionAverageInt,mz delta,formula,ion,HMDB ids,KEGG ids,other ids
589,293.1238264326043,5725.885688152824,0.000363867395719808,C12H22O8,-H(-),HMDB0031693; HMDB31693,,
590,293.14080964784466,7223.497594140345,-2.55478446433699e-05,C17H18N4O,-H(-),HMDB0015104; HMDB15104,,; CHEBI:253342
590,293.14080964784466,7223.497594140345,-0.001363147844699597,C16H22O5,-H(-),HMDB0030555; HMDB0094679; HMDB30555; HMDB94679,,; CHEBI:132607
591,293.2120852623121,6298.088018688739,0.0001320376879334617,C18H30O3,-H(-),HMDB0004668; HMDB0004669; HMDB0010200; HMDB0010203; HMDB0010206; HMDB0010220; HMDB0010224; HMDB0011108; HMDB0029786; HMDB0029969; HMDB0030950; HMDB0030995; HMDB0031088; HMDB0031103; HMDB0031934; HMDB0034586; HMDB0036832; HMDB0039603; HMDB0061644; HMDB0062288; HMDB0112093; HMDB0112099; HMDB0112103; HMDB04668; HMDB04669; HMDB10200; HMDB10203; HMDB10206; HMDB10220; HMDB10224; HMDB11108; HMDB29786; HMDB29969; HMDB30950; HMDB30995; HMDB31088; HMDB31103; HMDB31934; HMDB34586; HMDB36832; HMDB39603; HMDB61644; HMDB62288,C14765; C14766; C16346; C19827,; CHEBI:60956; CHEBI:72641; CHEBI:88438; CHEBI:89388; CHEBI:902350
592,293.2491668294483,3216.502883372441,-0.0005641294483211823,C19H34O2,-H(-),HMDB0034381; HMDB34381,,; CHEBI:69080
593,294.1530488055109,2453.282017854619,0.0002735944891583131,C16H25NO2S,-H(-),HMDB0042026; HMDB42026,,
593,294.1530488055109,2453.282017854619,0.000729270660997372,C15H22N2O4,-H(-) [+1],HMDB0028919; HMDB0029108; HMDB0033464; HMDB0139646; HMDB28919; HMDB29108; HMDB33464,,
594,294.9645611820116,2611.4408344346134,-0.00041908201160367753,C14H4N2O2S2,-H(-),HMDB0031780; HMDB31780,C18574,
595,295.0829683298146,4888.407445488142,-0.0006426298145925102,C14H16O7,-H(-),HMDB0125168,,
595,295.0829683298146,4888.407445488142,0.0006949701854068735,C15H12N4O3,-H(-),HMDB0060759; HMDB60759,,
596,295.1183428668244,8324.837330313621,0.00036823317560674695,C15H20O6,-H(-),HMDB0036156; HMDB0036867; HMDB0039810; HMDB0039812; HMDB0039814; HMDB36156; HMDB36867; HMDB39810; HMDB39812; HMDB39814,C09747,
597,295.19069559057573,5846.0176852567165,0.0007863094242566149,C17H28O4,-H(-),HMDB0035075; HMDB0038798; HMDB0134775; HMDB35075; HMDB38798,,
598,295.22815104191625,18084.112718016528,-0.00028374191623470324,C18H32O3,-H(-),HMDB0004667; HMDB0004701; HMDB0004702; HMDB0010223; HMDB0029796; HMDB0061708; HMDB0062652; HMDB0112194; HMDB04667; HMDB04701; HMDB04702; HMDB06939; HMDB10223; HMDB29796; HMDB61708; HMDB62652,C14762; C14825; C14826,; CHEBI:34154; CHEBI:38299; CHEBI:595882; CHEBI:72651
599,295.26476237428096,11563.68286660971,-0.0005096742809769239,C19H36O2,-H(-),HMDB0013622; HMDB0035575; HMDB13622; HMDB35575,C00174,; CHEBI:37527
600,295.95688583910487,2220.6400130033867,0.00031216089513463885,C7H8ClN3O4S2,-H(-),HMDB0001928; HMDB01928,C07041,CHEBI:102045
601,297.0416456502535,3431.730800973752,-0.0011845502534697516,C16H10O6,-H(-),HMDB0030562; HMDB0030830; HMDB0033722; HMDB0033820; HMDB0033859; HMDB0034139; HMDB0035914; HMDB0036305; HMDB0128460; HMDB0140315; HMDB0140318; HMDB30562; HMDB30830; HMDB33722; HMDB33820; HMDB33859; HMDB34139; HMDB35914; HMDB36305,C10467,; CHEBI:500565; CHEBI:5970
602,297.09943328986895,7957.119176403438,-0.0014575898689486166,C14H18O7,-H(-),HMDB0010350; HMDB0124996; HMDB0125173; HMDB10350,C03033,
602,297.09943328986895,7957.119176403438,-0.0003427136970799438,C13H16N2O6,-H(-) [+2],HMDB0029101; HMDB29101,,
