sample_col_name,group_label,batch_id,merged_sample_id,sample_type
287,0,4,bioheart::289,formal_or_unknown
295,0,4,bioheart::290,formal_or_unknown
296,0,4,bioheart::291,formal_or_unknown
297,0,4,bioheart::292,formal_or_unknown
298,0,4,bioheart::293,formal_or_unknown
Pool,QC,4,bioheart::294,qc
299,0,4,bioheart::295,formal_or_unknown
300,0,4,bioheart::296,formal_or_unknown
302,0,4,bioheart::297,formal_or_unknown
303,0,4,bioheart::298,formal_or_unknown
304,1,4,bioheart::299,formal_or_unknown
305,0,4,bioheart::300,formal_or_unknown
306,1,4,bioheart::301,formal_or_unknown
307,1,4,bioheart::302,formal_or_unknown
309,0,4,bioheart::303,formal_or_unknown
293,0,4,bioheart::304,formal_or_unknown
Pool,QC,4,bioheart::305,qc
310,0,4,bioheart::306,formal_or_unknown
313,1,4,bioheart::307,formal_or_unknown
314,0,4,bioheart::308,formal_or_unknown
302,0,4,bioheart::309,formal_or_unknown
315,0,4,bioheart::310,formal_or_unknown
316,0,4,bioheart::311,formal_or_unknown
317,0,4,bioheart::312,formal_or_unknown
318,0,4,bioheart::313,formal_or_unknown
319,1,4,bioheart::314,formal_or_unknown
321,0,4,bioheart::315,formal_or_unknown
Pool,QC,4,bioheart::316,qc
322,1,4,bioheart::317,formal_or_unknown
237,0,4,bioheart::318,formal_or_unknown
323,0,4,bioheart::319,formal_or_unknown
324,0,4,bioheart::320,formal_or_unknown
325,0,4,bioheart::321,formal_or_unknown
327,1,4,bioheart::322,formal_or_unknown
317,0,4,bioheart::323,formal_or_unknown
330,1,4,bioheart::324,formal_or_unknown
331,0,4,bioheart::325,formal_or_unknown
333,0,4,bioheart::326,formal_or_unknown
Pool,QC,4,bioheart::327,qc
334,0,4,bioheart::328,formal_or_unknown
335,0,4,bioheart::329,formal_or_unknown
336,0,4,bioheart::330,formal_or_unknown
337,1,4,bioheart::331,formal_or_unknown
323,0,4,bioheart::332,formal_or_unknown
338,1,4,bioheart::333,formal_or_unknown
339,1,4,bioheart::334,formal_or_unknown
340,0,4,bioheart::335,formal_or_unknown
341,0,4,bioheart::336,formal_or_unknown
342,0,4,bioheart::337,formal_or_unknown
Pool,QC,4,bioheart::338,qc
343,0,4,bioheart::339,formal_or_unknown
344,0,4,bioheart::340,formal_or_unknown
345,0,4,bioheart::341,formal_or_unknown
346,0,4,bioheart::342,formal_or_unknown
338,1,4,bioheart::343,formal_or_unknown
347,0,4,bioheart::344,formal_or_unknown
350,0,4,bioheart::345,formal_or_unknown
352,0,4,bioheart::346,formal_or_unknown
353,0,4,bioheart::347,formal_or_unknown
358,1,4,bioheart::348,formal_or_unknown
Pool,QC,4,bioheart::349,qc
Pool,QC,5,bioheart::350,qc
Pool,QC,5,bioheart::351,qc
338,1,5,bioheart::352,formal_or_unknown
314,0,5,bioheart::353,formal_or_unknown
334,0,5,bioheart::354,formal_or_unknown
333,0,5,bioheart::355,formal_or_unknown
289,0,5,bioheart::356,formal_or_unknown
360,0,5,bioheart::357,formal_or_unknown
361,1,5,bioheart::358,formal_or_unknown
362,0,5,bioheart::359,formal_or_unknown
344,0,5,bioheart::360,formal_or_unknown
363,1,5,bioheart::361,formal_or_unknown
Pool,QC,5,bioheart::362,qc
364,0,5,bioheart::363,formal_or_unknown
365,0,5,bioheart::364,formal_or_unknown
368,1,5,bioheart::365,formal_or_unknown
369,0,5,bioheart::366,formal_or_unknown
370,0,5,bioheart::367,formal_or_unknown
361,1,5,bioheart::368,formal_or_unknown
371,0,5,bioheart::369,formal_or_unknown
372,0,5,bioheart::370,formal_or_unknown
373,0,5,bioheart::371,formal_or_unknown
374,0,5,bioheart::372,formal_or_unknown
Pool,QC,5,bioheart::373,qc
376,1,5,bioheart::374,formal_or_unknown
378,1,5,bioheart::375,formal_or_unknown
380,1,5,bioheart::376,formal_or_unknown
382,0,5,bioheart::377,formal_or_unknown
385,0,5,bioheart::378,formal_or_unknown
386,1,5,bioheart::379,formal_or_unknown
364,0,5,bioheart::380,formal_or_unknown
387,0,5,bioheart::381,formal_or_unknown
388,0,5,bioheart::382,formal_or_unknown
392,0,5,bioheart::383,formal_or_unknown
Pool,QC,5,bioheart::384,qc
378,1,5,bioheart::385,formal_or_unknown
393,0,5,bioheart::386,formal_or_unknown
394,1,5,bioheart::387,formal_or_unknown
395,0,5,bioheart::388,formal_or_unknown
396,1,5,bioheart::389,formal_or_unknown
397,0,5,bioheart::390,formal_or_unknown
398,1,5,bioheart::391,formal_or_unknown
399,1,5,bioheart::392,formal_or_unknown
400,0,5,bioheart::393,formal_or_unknown
401,0,5,bioheart::394,formal_or_unknown
Pool,QC,5,bioheart::395,qc
402,0,5,bioheart::396,formal_or_unknown
403,1,5,bioheart::397,formal_or_unknown
404,0,5,bioheart::398,formal_or_unknown
405,0,5,bioheart::399,formal_or_unknown
406,0,5,bioheart::400,formal_or_unknown
396,1,5,bioheart::401,formal_or_unknown
407,0,5,bioheart::402,formal_or_unknown
408,1,5,bioheart::403,formal_or_unknown
410,0,5,bioheart::404,formal_or_unknown
411,1,5,bioheart::405,formal_or_unknown
Pool,QC,5,bioheart::406,qc
413,1,5,bioheart::407,formal_or_unknown
416,0,5,bioheart::408,formal_or_unknown
417,0,5,bioheart::409,formal_or_unknown
418,0,5,bioheart::410,formal_or_unknown
408,1,5,bioheart::411,formal_or_unknown
419,1,5,bioheart::412,formal_or_unknown
420,1,5,bioheart::413,formal_or_unknown
421,0,5,bioheart::414,formal_or_unknown
422,0,5,bioheart::415,formal_or_unknown
423,0,5,bioheart::416,formal_or_unknown
Pool,QC,5,bioheart::417,qc
424,0,5,bioheart::418,formal_or_unknown
