sample_col_name,INDEX,FILE_NAME,FILE_CODE,SAMPLE_NAME,LABEL,SEQUENCE,sample_type,batch_id,group_label
099 / P1_PP_0008,99,20200306_ecoli_4GHz_0099.d,20200320153626344-2492429,20200306_Plate1_074,P1_PP_0008,P001:128 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0008
100 / P1_PP_0008,100,20200306_ecoli_4GHz_0100.d,20200320153627398-2492430,20200306_Plate1_074,P1_PP_0008,P001:129 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0008
101 / P1_PP_0008,101,20200306_ecoli_4GHz_0101.d,20200320153628440-2492431,20200306_Plate1_074,P1_PP_0008,P001:130 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0008
102 / water,102,20200306_ecoli_4GHz_0102.d,20200320153629464-2492432,ctrl_p01_c1,water,P001:131 seq1 control,water,Batch7_0306 DATA,water
103 / water,103,20200306_ecoli_4GHz_0103.d,20200320153630449-2492433,ctrl_p01_c2,water,P001:132 seq1 control,water,Batch7_0306 DATA,water
104 / P1_PP_0512,104,20200306_ecoli_4GHz_0104.d,20200320153631524-2492434,20200306_Plate1_081,P1_PP_0512,P001:133 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0512
105 / P1_PP_0512,105,20200306_ecoli_4GHz_0105.d,20200320153632496-2492435,20200306_Plate1_081,P1_PP_0512,P001:134 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0512
106 / P1_PP_0512,106,20200306_ecoli_4GHz_0106.d,20200320153633444-2492436,20200306_Plate1_081,P1_PP_0512,P001:135 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0512
107 / water,107,20200306_ecoli_4GHz_0107.d,20200320153634459-2492437,ctrl_p01_c2,water,P001:137 seq1 control,water,Batch7_0306 DATA,water
108 / P1_SRM_0008,108,20200306_ecoli_4GHz_0108.d,20200320153635488-2492438,20200306_Plate1_004,P1_SRM_0008,P001:138 seq1,srm,Batch7_0306 DATA,P1_SRM_0008
109 / P1_SRM_0008,109,20200306_ecoli_4GHz_0109.d,20200320153636628-2492439,20200306_Plate1_004,P1_SRM_0008,P001:139 seq1,srm,Batch7_0306 DATA,P1_SRM_0008
110 / P1_SRM_0008,110,20200306_ecoli_4GHz_0110.d,20200320153637833-2492440,20200306_Plate1_004,P1_SRM_0008,P001:140 seq1,srm,Batch7_0306 DATA,P1_SRM_0008
111 / water,111,20200306_ecoli_4GHz_0111.d,20200320153638966-2492441,ctrl_p01_c1,water,P001:141 seq1 control,water,Batch7_0306 DATA,water
112 / water,112,20200306_ecoli_4GHz_0112.d,20200320153640102-2492442,ctrl_p01_c2,water,P001:142 seq1 control,water,Batch7_0306 DATA,water
113 / P1_AA_0128,113,20200306_ecoli_4GHz_0113.d,20200320153641194-2492443,20200306_Plate1_051,P1_AA_0128,P001:143 seq1,formal_or_unknown,Batch7_0306 DATA,P1_AA_0128
114 / P1_AA_0128,114,20200306_ecoli_4GHz_0114.d,20200320153642349-2492444,20200306_Plate1_051,P1_AA_0128,P001:144 seq1,formal_or_unknown,Batch7_0306 DATA,P1_AA_0128
115 / P1_AA_0128,115,20200306_ecoli_4GHz_0115.d,20200320153643450-2492445,20200306_Plate1_051,P1_AA_0128,P001:145 seq1,formal_or_unknown,Batch7_0306 DATA,P1_AA_0128
116 / water,116,20200306_ecoli_4GHz_0116.d,20200320153644624-2492446,ctrl_p01_c1,water,P001:146 seq1 control,water,Batch7_0306 DATA,water
117 / P1_PP_0004,117,20200306_ecoli_4GHz_0117.d,20200320153645703-2492447,20200306_Plate1_073,P1_PP_0004,P001:148 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0004
118 / P1_PP_0004,118,20200306_ecoli_4GHz_0118.d,20200320153646821-2492448,20200306_Plate1_073,P1_PP_0004,P001:149 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0004
119 / P1_PP_0004,119,20200306_ecoli_4GHz_0119.d,20200320153647934-2492449,20200306_Plate1_073,P1_PP_0004,P001:150 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0004
120 / water,120,20200306_ecoli_4GHz_0120.d,20200320153649106-2492450,ctrl_p01_c1,water,P001:151 seq1 control,water,Batch7_0306 DATA,water
121 / water,121,20200306_ecoli_4GHz_0121.d,20200320153650130-2492451,ctrl_p01_c2,water,P001:152 seq1 control,water,Batch7_0306 DATA,water
122 / P1_SRM_2048,122,20200306_ecoli_4GHz_0122.d,20200320153651147-2492452,20200306_Plate1_013,P1_SRM_2048,P001:153 seq1,srm,Batch7_0306 DATA,P1_SRM_2048
123 / P1_SRM_2048,123,20200306_ecoli_4GHz_0123.d,20200320153652163-2492453,20200306_Plate1_013,P1_SRM_2048,P001:154 seq1,srm,Batch7_0306 DATA,P1_SRM_2048
124 / P1_SRM_2048,124,20200306_ecoli_4GHz_0124.d,20200320153653175-2492454,20200306_Plate1_013,P1_SRM_2048,P001:155 seq1,srm,Batch7_0306 DATA,P1_SRM_2048
125 / P1_AA_0256,125,20200306_ecoli_4GHz_0125.d,20200320153654174-2492455,20200306_Plate1_052,P1_AA_0256,P001:158 seq1,formal_or_unknown,Batch7_0306 DATA,P1_AA_0256
126 / P1_AA_0256,126,20200306_ecoli_4GHz_0126.d,20200320153655228-2492456,20200306_Plate1_052,P1_AA_0256,P001:159 seq1,formal_or_unknown,Batch7_0306 DATA,P1_AA_0256
